ID,Individual Code,Seat,Treatment,Market,Gender,Number of Answers,Answers Missing,Individual Answer Stage 1,Individual Answer Stage 2,Individual Answer Stage 3,Individual Answer Stage 4,Group Answer Stage 1,Group Answer Stage 2,Group Answer Stage 3,Group Answer Stage 4,Final Answer Stage 1,Final Answer Stage 2,Final Answer Stage 3,Final Answer Stage 4,Time Individual Stage 1,Time Individual Stage 2,Time Individual Stage 3,Time Individual Stage 4,Time Group Stage 1,Time Group Stage 2,Time Group Stage 3,Time Group Stage 4,Experience,Skills
0301G,03,01,G,1,Male,4,FALSE,24,10,0,4.2,20,5,0.2,7,20,5,0.2,7,11/6/2019 16:10:17,11/6/2019 16:22:53,11/6/2019 16:35:22,11/6/2019 16:46:22,11/6/2019 16:10:17,11/6/2019 16:22:53,11/6/2019 16:35:22,11/6/2019 16:46:22,Yes,3
5418G,54,18,G,4,Female,4,FALSE,45,12,0,0.02,27,5,0.3,0.09,27,5,0.3,0.09,11/6/2019 16:10:21,11/6/2019 16:24:08,11/6/2019 16:37:22,11/6/2019 16:46:26,11/6/2019 16:10:21,11/6/2019 16:24:08,11/6/2019 16:37:22,11/6/2019 16:46:26,No,2
1907G,19,07,G,2,Female,4,FALSE,10,3,3,0.3,14.6,5.2,2.73,0.3,14.6,5.2,2.73,0.3,11/6/2019 16:10:22,11/6/2019 16:25:47,11/6/2019 16:35:30,11/6/2019 16:46:16,11/6/2019 16:10:22,11/6/2019 16:25:47,11/6/2019 16:35:30,11/6/2019 16:46:16,Yes,2
5218G,52,18,G,4,Male,3,TRUE,14,5,0.55,-,27,5,0.3,-,27,5,0.3,-,11/6/2019 16:10:22,11/6/2019 16:24:13,11/6/2019 16:37:27,-,11/6/2019 16:10:22,11/6/2019 16:24:13,11/6/2019 16:37:27,-,#N/A,#N/A
2007G,20,07,G,2,Male,4,FALSE,14.6,5.2,2.73,100,14.6,5.2,2.73,100,14.6,5.2,2.73,100,11/6/2019 16:10:22,11/6/2019 16:25:47,11/6/2019 16:35:31,11/6/2019 16:45:47,11/6/2019 16:10:22,11/6/2019 16:25:47,11/6/2019 16:35:31,11/6/2019 16:45:47,Yes,3
2107G,21,07,G,2,Male,3,TRUE,40,24,2,-,14.6,5.2,2.73,-,14.6,5.2,2.73,-,11/6/2019 16:10:22,11/6/2019 16:24:47,11/6/2019 16:35:28,-,11/6/2019 16:10:22,11/6/2019 16:24:47,11/6/2019 16:35:28,-,#N/A,#N/A
5318G,53,18,G,4,Male,4,FALSE,26,20,1,0.1,27,5,0.3,0.09,27,5,0.3,0.09,11/6/2019 16:10:23,11/6/2019 16:24:14,11/6/2019 16:37:21,11/6/2019 16:45:51,11/6/2019 16:10:23,11/6/2019 16:24:14,11/6/2019 16:37:21,11/6/2019 16:45:51,Yes,3
0502G,05,02,G,1,Female,4,FALSE,77,10,0,0,22,0,0,100,22,0,0,100,11/6/2019 16:10:39,11/6/2019 16:22:27,11/6/2019 16:35:11,11/6/2019 16:48:04,11/6/2019 16:10:39,11/6/2019 16:22:27,11/6/2019 16:35:11,11/6/2019 16:48:04,Yes,3
0402G,04,02,G,1,Female,4,FALSE,22,0,0,100,22,0,0,66,22,0,0,66,11/6/2019 16:10:40,11/6/2019 16:22:31,11/6/2019 16:35:48,11/6/2019 16:47:14,11/6/2019 16:10:40,11/6/2019 16:22:31,11/6/2019 16:35:48,11/6/2019 16:47:14,No,1
0602G,06,02,G,1,Female,3,TRUE,38,0,0,-,22,0,0,-,22,0,0,-,11/6/2019 16:10:41,11/6/2019 16:22:27,11/6/2019 16:35:13,-,11/6/2019 16:10:41,11/6/2019 16:22:27,11/6/2019 16:35:13,-,#N/A,#N/A
2810G,28,10,G,2,Male,4,FALSE,9,5,3.5,1,12,4.9,3.2,1,12,4.9,3.2,1,11/6/2019 16:11:03,11/6/2019 16:24:14,11/6/2019 16:36:33,11/6/2019 16:46:12,11/6/2019 16:11:03,11/6/2019 16:24:14,11/6/2019 16:36:33,11/6/2019 16:46:12,Yes,2
1305G,13,05,G,1,Female,3,TRUE,33,0,100,-,22.5,4,0.66,-,22.5,4,0.66,-,11/6/2019 16:11:03,11/6/2019 16:28:57,11/6/2019 16:37:51,-,11/6/2019 16:11:03,11/6/2019 16:28:57,11/6/2019 16:37:51,-,#N/A,#N/A
3010G,30,10,G,2,Male,4,FALSE,14,4.5,3.2,0.5,12,4.9,3.2,0.5,12,4.9,3.2,0.5,11/6/2019 16:11:04,11/6/2019 16:24:10,11/6/2019 16:36:32,11/6/2019 16:46:06,11/6/2019 16:11:04,11/6/2019 16:24:10,11/6/2019 16:36:32,11/6/2019 16:46:06,Yes,4
1405G,14,05,G,1,Male,4,FALSE,22.2222,6,0.5,0,22.5,4,0.66,0,22.5,4,0.66,0,11/6/2019 16:11:06,11/6/2019 16:28:57,11/6/2019 16:37:45,11/6/2019 16:46:02,11/6/2019 16:11:06,11/6/2019 16:28:57,11/6/2019 16:37:45,11/6/2019 16:46:02,Yes,2
2910G,29,10,G,2,Female,3,TRUE,38,5.2,4,-,12,4.9,3.2,-,12,4.9,3.2,-,11/6/2019 16:11:07,11/6/2019 16:24:08,11/6/2019 16:36:34,-,11/6/2019 16:11:07,11/6/2019 16:24:08,11/6/2019 16:36:34,-,#N/A,#N/A
1505G,15,05,G,1,Female,4,FALSE,39,100,100,100,22.5,4,0.66,0,22.5,4,0.66,0,11/6/2019 16:11:18,11/6/2019 16:28:58,11/6/2019 16:37:56,11/6/2019 16:46:25,11/6/2019 16:11:18,11/6/2019 16:28:58,11/6/2019 16:37:56,11/6/2019 16:46:25,Yes,1
2408G,24,08,G,2,Male,4,FALSE,40,0,0,0,0,0,0,0,0,0,0,0,11/6/2019 16:11:49,11/6/2019 16:21:40,11/6/2019 16:34:34,11/6/2019 16:46:07,11/6/2019 16:11:49,11/6/2019 16:21:40,11/6/2019 16:34:34,11/6/2019 16:46:07,Yes,4
0903G,09,03,G,1,Female,4,FALSE,18,15,1,0,19,9.75,0.8,0,19,9.75,0.8,0,11/6/2019 16:11:51,11/6/2019 16:24:26,11/6/2019 16:35:16,11/6/2019 16:44:53,11/6/2019 16:11:51,11/6/2019 16:24:26,11/6/2019 16:35:16,11/6/2019 16:44:53,Yes,2
0803G,08,03,G,1,Male,4,FALSE,57,9.75,0.001,99,19,9.75,0.8,2,19,9.75,0.8,2,11/6/2019 16:11:52,11/6/2019 16:24:20,11/6/2019 16:35:16,11/6/2019 16:45:07,11/6/2019 16:11:52,11/6/2019 16:24:20,11/6/2019 16:35:16,11/6/2019 16:45:07,Yes,2
0703G,07,03,G,1,Male,4,FALSE,14.346,9.574,0.93,99,19,9.75,0.8,99,19,9.75,0.8,99,11/6/2019 16:11:53,11/6/2019 16:24:03,11/6/2019 16:35:17,11/6/2019 16:45:16,11/6/2019 16:11:53,11/6/2019 16:24:03,11/6/2019 16:35:17,11/6/2019 16:45:16,No,2
2208G,22,08,G,2,Female,4,FALSE,20,0,0,0,0,0,0,0,0,0,0,0,11/6/2019 16:11:58,11/6/2019 16:26:45,11/6/2019 16:34:38,11/6/2019 16:45:57,11/6/2019 16:11:58,11/6/2019 16:26:45,11/6/2019 16:34:38,11/6/2019 16:45:57,Yes,2
2308G,23,08,G,2,Female,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,11/6/2019 16:12:01,11/6/2019 16:22:13,11/6/2019 16:34:23,11/6/2019 16:45:56,11/6/2019 16:12:01,11/6/2019 16:22:13,11/6/2019 16:34:23,11/6/2019 16:45:56,Yes,2
4014G,40,14,G,3,Male,4,FALSE,22.5,9.8,2.8,0,22.2,11.1,2.7,0,22.2,11.1,2.7,0,11/6/2019 16:12:03,11/6/2019 16:24:34,11/6/2019 16:38:01,11/6/2019 16:45:42,11/6/2019 16:12:03,11/6/2019 16:24:34,11/6/2019 16:38:01,11/6/2019 16:45:42,Yes,3
4214G,42,14,G,3,Male,4,FALSE,0,10,1.91,0.1,22.2,11.1,2.7,0,22.2,11.1,2.7,0,11/6/2019 16:12:04,11/6/2019 16:24:39,11/6/2019 16:38:07,11/6/2019 16:45:54,11/6/2019 16:12:04,11/6/2019 16:24:39,11/6/2019 16:38:07,11/6/2019 16:45:54,Yes,3
4114G,41,14,G,3,Male,4,FALSE,33.3,22.2,5.164,0,22.2,11.1,2.7,0,22.2,11.1,2.7,0,11/6/2019 16:12:06,11/6/2019 16:24:35,11/6/2019 16:38:08,11/6/2019 16:45:30,11/6/2019 16:12:06,11/6/2019 16:24:35,11/6/2019 16:38:08,11/6/2019 16:45:30,No,3
5719G,57,19,G,4,Female,3,TRUE,20.34,7,20,-,20,7,0,-,20,7,0,-,11/6/2019 16:13:50,11/6/2019 16:23:27,11/6/2019 16:35:40,-,11/6/2019 16:13:50,11/6/2019 16:23:27,11/6/2019 16:35:40,-,#N/A,#N/A
5619G,56,19,G,4,Male,4,FALSE,20,10,1,69,20,7,0,69,20,7,0,69,11/6/2019 16:13:51,11/6/2019 16:23:04,11/6/2019 16:35:29,11/6/2019 16:44:57,11/6/2019 16:13:51,11/6/2019 16:23:04,11/6/2019 16:35:29,11/6/2019 16:44:57,No,3
5519G,55,19,G,4,Female,3,TRUE,67,10,0,-,20,7,0,-,20,7,0,-,11/6/2019 16:13:53,11/6/2019 16:23:31,11/6/2019 16:35:30,-,11/6/2019 16:13:53,11/6/2019 16:23:31,11/6/2019 16:35:30,-,#N/A,#N/A
4415G,44,15,G,3,Male,4,FALSE,42.2,13.3,0,0,18,18,0,0,18,18,0,0,11/6/2019 16:14:22,11/6/2019 16:25:26,11/6/2019 16:34:00,11/6/2019 16:45:53,11/6/2019 16:14:22,11/6/2019 16:25:26,11/6/2019 16:34:00,11/6/2019 16:45:53,Yes,3
4315G,43,15,G,3,Male,4,FALSE,22,18,0,0,18,18,0,0,18,18,0,0,11/6/2019 16:14:24,11/6/2019 16:25:28,11/6/2019 16:34:14,11/6/2019 16:46:11,11/6/2019 16:14:24,11/6/2019 16:25:28,11/6/2019 16:34:14,11/6/2019 16:46:11,Yes,4
4816G,48,16,G,4,Male,4,FALSE,44.44,8,0,0,20.3,3.7,0.8,0.05,20.3,3.7,0.8,0.05,11/6/2019 16:14:26,11/6/2019 16:25:56,11/6/2019 16:36:43,11/6/2019 16:46:26,11/6/2019 16:14:26,11/6/2019 16:25:56,11/6/2019 16:36:43,11/6/2019 16:46:26,Yes,4
4716G,47,16,G,4,Male,4,FALSE,57.3,6.24,0,0.2,20.3,3.7,0.8,0.05,20.3,3.7,0.8,0.05,11/6/2019 16:14:26,11/6/2019 16:25:57,11/6/2019 16:36:48,11/6/2019 16:46:28,11/6/2019 16:14:26,11/6/2019 16:25:57,11/6/2019 16:36:48,11/6/2019 16:46:28,No,1
4515G,45,15,G,3,Female,4,FALSE,33.33,33.33,0,0,18,18,0,0,18,18,0,0,11/6/2019 16:14:27,11/6/2019 16:26:06,11/6/2019 16:34:18,11/6/2019 16:45:43,11/6/2019 16:14:27,11/6/2019 16:26:06,11/6/2019 16:34:18,11/6/2019 16:45:43,No,1
4616G,46,16,G,4,Female,3,TRUE,14,3.7,2,-,20.3,3.7,0.8,-,20.3,3.7,0.8,-,11/6/2019 16:14:41,11/6/2019 16:26:04,11/6/2019 16:36:47,-,11/6/2019 16:14:41,11/6/2019 16:26:04,11/6/2019 16:36:47,-,#N/A,#N/A
3412G,34,12,G,3,Male,4,FALSE,50,0,0,0,0,0,0,0,0,0,0,0,11/6/2019 16:14:53,11/6/2019 16:21:30,11/6/2019 16:34:39,11/6/2019 16:46:55,11/6/2019 16:14:53,11/6/2019 16:21:30,11/6/2019 16:34:39,11/6/2019 16:46:55,Yes,3
6020G,60,20,G,4,Female,3,TRUE,24,14,2,-,0,0,0,-,0,0,0,-,11/6/2019 16:16:58,11/6/2019 16:22:20,11/6/2019 16:35:29,-,11/6/2019 16:16:58,11/6/2019 16:22:20,11/6/2019 16:35:29,-,#N/A,#N/A
6404I,64,04,I,1,Male,4,FALSE,33.33,8,4,0,,,,,33.33,8,4,0,11/6/2019 16:00:31,11/6/2019 16:09:56,11/6/2019 16:20:56,11/6/2019 16:32:56,11/6/2019 16:00:31,11/6/2019 16:09:56,11/6/2019 16:20:56,11/6/2019 16:32:56,No,3
6505I,65,05,I,1,Male,4,FALSE,67.5,19.3,6.264,0,,,,,67.5,19.3,6.264,0,11/6/2019 16:00:42,11/6/2019 16:10:24,11/6/2019 16:21:25,11/6/2019 16:32:52,11/6/2019 16:00:42,11/6/2019 16:10:24,11/6/2019 16:21:25,11/6/2019 16:32:52,No,1
6202I,62,02,I,1,Male,4,FALSE,33.333,17,0,0,,,,,33.333,17,0,0,11/6/2019 16:00:46,11/6/2019 16:09:53,11/6/2019 16:20:54,11/6/2019 16:32:37,11/6/2019 16:00:46,11/6/2019 16:09:53,11/6/2019 16:20:54,11/6/2019 16:32:37,Yes,2
7616I,76,16,I,4,Female,4,FALSE,73,34,82,66,,,,,73,34,82,66,11/6/2019 16:00:59,11/6/2019 16:09:22,11/6/2019 16:20:38,11/6/2019 16:32:40,11/6/2019 16:00:59,11/6/2019 16:09:22,11/6/2019 16:20:38,11/6/2019 16:32:40,Yes,3
7111I,71,11,I,3,Male,4,FALSE,36,50,50,33,,,,,36,50,50,33,11/6/2019 16:01:12,11/6/2019 16:09:50,11/6/2019 16:21:02,11/6/2019 16:33:03,11/6/2019 16:01:12,11/6/2019 16:09:50,11/6/2019 16:21:02,11/6/2019 16:33:03,No,2
7212I,72,12,I,3,Male,4,FALSE,35,35,32,5,,,,,35,35,32,5,11/6/2019 16:01:22,11/6/2019 16:09:52,11/6/2019 16:21:01,11/6/2019 16:32:45,11/6/2019 16:01:22,11/6/2019 16:09:52,11/6/2019 16:21:01,11/6/2019 16:32:45,Yes,2
6101I,61,01,I,1,Female,4,FALSE,36,18,2,0.2,,,,,36,18,2,0.2,11/6/2019 16:01:23,11/6/2019 16:09:47,11/6/2019 16:20:48,11/6/2019 16:33:08,11/6/2019 16:01:23,11/6/2019 16:09:47,11/6/2019 16:20:48,11/6/2019 16:33:08,No,2
7818I,78,18,I,4,Male,4,FALSE,2,10,4,6,,,,,2,10,4,6,11/6/2019 16:01:28,11/6/2019 16:15:16,11/6/2019 16:21:09,11/6/2019 16:33:19,11/6/2019 16:01:28,11/6/2019 16:15:16,11/6/2019 16:21:09,11/6/2019 16:33:19,No,2
6909I,69,09,I,2,Female,4,FALSE,50,5,7,6,,,,,50,5,7,6,11/6/2019 16:01:47,11/6/2019 16:10:58,11/6/2019 16:21:14,11/6/2019 16:33:10,11/6/2019 16:01:47,11/6/2019 16:10:58,11/6/2019 16:21:14,11/6/2019 16:33:10,Yes,2
7010I,70,10,I,2,Male,4,FALSE,67,42,9,9,,,,,67,42,9,9,11/6/2019 16:01:58,11/6/2019 16:09:55,11/6/2019 16:21:18,11/6/2019 16:33:34,11/6/2019 16:01:58,11/6/2019 16:09:55,11/6/2019 16:21:18,11/6/2019 16:33:34,Yes,2
7919I,79,19,I,4,Male,4,FALSE,0,0,0,1,,,,,0,0,0,1,11/6/2019 16:02:02,11/6/2019 16:10:30,11/6/2019 16:21:04,11/6/2019 16:32:45,11/6/2019 16:02:02,11/6/2019 16:10:30,11/6/2019 16:21:04,11/6/2019 16:32:45,Yes,3
6303I,63,03,I,1,Female,4,FALSE,24,16,3,0,,,,,24,16,3,0,11/6/2019 16:02:05,11/6/2019 16:10:02,11/6/2019 16:20:51,11/6/2019 16:33:07,11/6/2019 16:02:05,11/6/2019 16:10:02,11/6/2019 16:20:51,11/6/2019 16:33:07,No,2
7717I,77,17,I,4,Female,4,FALSE,38,48,17,0,,,,,38,48,17,0,11/6/2019 16:02:06,11/6/2019 16:10:00,11/6/2019 16:21:11,11/6/2019 16:33:25,11/6/2019 16:02:06,11/6/2019 16:10:00,11/6/2019 16:21:11,11/6/2019 16:33:25,No,1
6606I,66,06,I,2,Male,4,FALSE,30,20,10,5,,,,,30,20,10,5,11/6/2019 16:02:22,11/6/2019 16:11:17,11/6/2019 16:23:00,11/6/2019 16:34:44,11/6/2019 16:02:22,11/6/2019 16:11:17,11/6/2019 16:23:00,11/6/2019 16:34:44,Yes,3
7515I,75,15,I,3,Female,4,FALSE,100,28,9,7.6,,,,,100,28,9,7.6,11/6/2019 16:02:38,11/6/2019 16:10:12,11/6/2019 16:21:20,11/6/2019 16:33:34,11/6/2019 16:02:38,11/6/2019 16:10:12,11/6/2019 16:21:20,11/6/2019 16:33:34,Yes,3
7313I,73,13,I,3,Male,4,FALSE,42.2,20.9,4.95,3.33,,,,,42.2,20.9,4.95,3.33,11/6/2019 16:02:43,11/6/2019 16:11:56,11/6/2019 16:22:30,11/6/2019 16:34:39,11/6/2019 16:02:43,11/6/2019 16:11:56,11/6/2019 16:22:30,11/6/2019 16:34:39,No,2
6808I,68,08,I,2,Male,4,FALSE,22,15,9,5,,,,,22,15,9,5,11/6/2019 16:03:20,11/6/2019 16:11:32,11/6/2019 16:22:02,11/6/2019 16:34:25,11/6/2019 16:03:20,11/6/2019 16:11:32,11/6/2019 16:22:02,11/6/2019 16:34:25,Yes,4
7414I,74,14,I,3,Male,4,FALSE,26.8,18.6,12.4,6.9,,,,,26.8,18.6,12.4,6.9,11/6/2019 16:03:51,11/6/2019 16:11:16,11/6/2019 16:21:40,11/6/2019 16:33:23,11/6/2019 16:03:51,11/6/2019 16:11:16,11/6/2019 16:21:40,11/6/2019 16:33:23,Yes,2
8020I,80,20,I,4,Female,4,FALSE,42.5,0,0,0,,,,,42.5,0,0,0,11/6/2019 16:04:49,11/6/2019 16:09:44,11/6/2019 16:20:46,11/6/2019 16:33:07,11/6/2019 16:04:49,11/6/2019 16:09:44,11/6/2019 16:20:46,11/6/2019 16:33:07,Yes,3
6707I,67,07,I,2,Female,4,FALSE,67,50,37.4,3.5,,,,,67,50,37.4,3.5,11/6/2019 16:06:02,11/6/2019 16:10:57,11/6/2019 16:23:17,11/6/2019 16:33:56,11/6/2019 16:06:02,11/6/2019 16:10:57,11/6/2019 16:23:17,11/6/2019 16:33:56,No,1
